Daily mean flow
[%Y-%m-%d],  [l/s]
date,S2
2018-05-21,16.067083333333333
2018-05-22,15.837083333333332
2018-05-23,14.526666666666666
2018-05-24,13.511666666666668
2018-05-25,13.27875
2018-05-26,12.90125
2018-05-27,13.444583333333334
2018-05-28,15.767083333333334
2018-05-29,15.018333333333333
2018-05-30,12.518333333333333
2018-05-31,11.659999999999998
2018-06-01,11.307083333333333
2018-06-02,10.731250000000001
2018-06-03,10.589583333333332
2018-06-04,10.163333333333334
2018-06-05,9.412083333333333
2018-06-06,8.6475
2018-06-07,8.220416666666667
2018-06-08,8.133333333333333
2018-06-09,7.967083333333334
2018-06-10,12.273333333333333
2018-06-11,8.629583333333334
2018-06-12,8.110833333333334
2018-06-13,7.433333333333334
2018-06-14,7.610416666666667
2018-06-15,8.213333333333333
2018-06-16,9.19875
2018-06-17,8.27125
2018-06-18,7.897916666666667
2018-06-19,7.42875
2018-06-20,6.954166666666667
2018-06-21,10.049583333333333
2018-06-22,7.750416666666666
2018-06-23,7.087916666666666
2018-06-24,8.64875
2018-06-25,6.822916666666667
2018-06-26,6.576250000000001
2018-06-27,6.29
2018-06-28,7.203749999999999
2018-06-29,7.496666666666666
2018-06-30,7.010000000000001
2018-07-01,6.771666666666667
2018-07-02,6.588333333333334
2018-07-03,6.527083333333334
2018-07-04,5.863333333333333
2018-07-05,6.5275
2018-07-06,5.646249999999999
2018-07-07,5.245833333333334
2018-07-08,5.055833333333333
2018-07-09,5.04125
2018-07-10,6.06625
2018-07-11,6.427083333333333
2018-07-12,5.7004166666666665
2018-07-13,5.437916666666666
2018-07-14,5.25375
2018-07-15,5.482916666666667
2018-07-16,5.28125
2018-07-17,5.015833333333333
2018-07-18,5.0808333333333335
2018-07-19,5.183333333333333
2018-07-20,5.620833333333334
2018-07-21,5.3237499999999995
2018-07-22,4.9991666666666665
2018-07-23,5.1066666666666665
2018-07-24,4.778333333333333
2018-07-25,4.233333333333333
2018-07-26,3.9600000000000004
2018-07-27,3.731666666666667
2018-07-28,10.00625
2018-07-29,14.68
2018-07-30,4.83
2018-07-31,4.340833333333333
2018-08-01,4.071666666666666
2018-08-02,3.692083333333333
2018-08-03,3.3800000000000003
2018-08-04,3.5812500000000003
2018-08-05,3.2275000000000005
2018-08-06,3.4158333333333335
2018-08-07,3.30875
2018-08-08,3.1833333333333336
2018-08-09,4.059583333333333
2018-08-10,13.546666666666667
2018-08-11,6.984999999999999
2018-08-12,12.63875
2018-08-13,29.91541666666667
2018-08-14,12.67125
2018-08-15,6.864166666666667
2018-08-16,6.5475
2018-08-17,5.5008333333333335
2018-08-18,4.895416666666667
2018-08-19,4.98375
2018-08-20,5.852083333333333
2018-08-21,4.276666666666666
2018-08-22,3.9116666666666666
2018-08-23,3.9345833333333338
2018-08-24,19.06625
2018-08-25,13.082083333333335
2018-08-26,11.314166666666667
2018-08-27,13.882083333333334
2018-08-28,14.143333333333333
2018-08-29,6.37125
2018-08-30,10.32
2018-08-31,7.352083333333333
2018-09-01,6.097083333333333
2018-09-02,5.835
2018-09-03,5.773333333333333
2018-09-04,5.62625
2018-09-05,5.179583333333333
2018-09-06,5.24
2018-09-07,66.97875
2018-09-08,39.245416666666664
2018-09-09,19.83791666666667
2018-09-10,11.79625
2018-09-11,63.725
2018-09-12,37.2925
2018-09-13,16.285833333333333
2018-09-14,12.234583333333333
2018-09-15,27.184583333333336
2018-09-16,16.254583333333333
2018-09-17,12.190416666666666
