Time,WatLvl
2015-12-03,30.431548819444444
2015-12-04,30.38909673611111
2015-12-05,30.45050131944444
2015-12-06,31.15022694444444
2015-12-07,30.943638819444445
2015-12-08,30.54395236111111
2015-12-09,30.522811249999997
2015-12-10,30.461480416666664
2015-12-11,30.54087597222222
2015-12-12,30.540366666666664
2015-12-13,30.443343958333333
2015-12-14,30.445885069444444
2015-12-15,30.56249645833333
2015-12-16,30.456083333333332
2015-12-17,30.35354576388889
2015-12-18,30.32558097222222
2015-12-19,30.310128680555554
2015-12-20,30.272924791666664
2015-12-21,30.232513819444442
2015-12-22,30.430302013888888
2015-12-23,30.618723541666665
2015-12-24,30.41734111111111
2015-12-25,30.372400555555554
2015-12-26,30.423112152777776
2015-12-27,30.858445624999998
2015-12-28,30.718641249999997
2015-12-29,30.52367263888889
